2022-10-01 07:00:00,2022-10-01 07:00:00,full-size
2022-10-01 07:05:00,2022-10-01 07:05:00,medium
2022-10-01 07:12:00,2022-10-01 07:12:00,compact
2022-09-15 09:01:00,2022-10-01 07:16:00,compact
2022-10-01 07:19:00,2022-10-01 07:19:00,full-size
2022-10-01 07:22:00,2022-10-01 07:22:00,medium
2022-10-01 07:22:00,2022-10-01 07:22:00,full-size
2022-10-01 07:34:00,2022-10-01 07:34:00,full-size
2022-10-01 07:35:00,2022-10-01 07:35:00,class 1 truck
2022-10-01 07:36:00,2022-10-01 07:36:00,compact
2022-10-01 07:40:00,2022-10-01 07:40:00,medium
2022-09-09 18:16:00,2022-10-01 07:45:00,medium
2022-10-01 07:48:00,2022-10-01 07:48:00,medium
2022-10-01 07:49:00,2022-10-01 07:49:00,class 1 truck
2022-09-08 07:32:00,2022-10-01 07:59:00,class 2 truck
2022-10-01 08:44:00,2022-10-01 08:44:00,medium
2022-09-17 07:20:00,2022-10-01 08:53:00,class 2 truck
2022-09-05 18:03:00,2022-10-01 08:56:00,full-size
2022-09-24 12:26:00,2022-10-01 09:07:00,medium
2022-09-19 16:32:00,2022-10-01 09:30:00,class 2 truck
2022-09-25 07:20:00,2022-10-01 10:08:00,medium
2022-09-17 07:02:00,2022-10-01 10:09:00,class 1 truck
2022-09-07 07:25:00,2022-10-01 10:42:00,medium
2022-10-01 10:48:00,2022-10-01 10:48:00,class 2 truck
2022-09-30 07:36:00,2022-10-01 11:14:00,compact
2022-10-01 12:09:00,2022-10-01 12:09:00,compact
2022-09-06 07:42:00,2022-10-01 12:10:00,medium
2022-09-12 18:30:00,2022-10-01 12:21:00,class 1 truck
2022-09-18 18:23:00,2022-10-01 12:46:00,compact
2022-10-01 13:03:00,2022-10-01 13:03:00,class 2 truck
2022-10-01 13:12:00,2022-10-01 13:12:00,full-size
2022-09-16 08:49:00,2022-10-01 13:37:00,full-size
2022-10-01 13:39:00,2022-10-01 13:39:00,class 1 truck
2022-09-08 07:45:00,2022-10-01 14:01:00,class 1 truck
2022-09-28 15:26:00,2022-10-01 14:07:00,class 1 truck
2022-10-01 14:08:00,2022-10-01 14:08:00,class 2 truck
2022-10-01 14:33:00,2022-10-01 14:33:00,compact
2022-10-01 14:34:00,2022-10-01 14:34:00,medium
2022-10-01 14:39:00,2022-10-01 14:39:00,class 1 truck
2022-09-23 07:11:00,2022-10-01 15:21:00,medium
2022-09-06 10:46:00,2022-10-01 15:35:00,medium
2022-09-12 10:22:00,2022-10-01 15:39:00,class 1 truck
2022-10-01 15:40:00,2022-10-01 15:40:00,compact
2022-09-21 13:05:00,2022-10-01 15:49:00,medium
2022-09-27 18:12:00,2022-10-01 15:59:00,class 1 truck
2022-09-25 10:32:00,2022-10-01 16:02:00,class 2 truck
2022-09-23 18:04:00,2022-10-01 16:11:00,class 1 truck
2022-09-22 07:56:00,2022-10-01 16:13:00,class 1 truck
2022-09-16 18:30:00,2022-10-01 16:19:00,class 1 truck
2022-09-10 07:55:00,2022-10-01 16:40:00,full-size
2022-09-05 10:17:00,2022-10-01 16:50:00,medium
2022-09-20 07:54:00,2022-10-01 18:04:00,full-size
2022-10-01 18:13:00,2022-10-01 18:13:00,full-size
2022-09-02 07:37:00,2022-10-01 18:14:00,class 2 truck
2022-10-01 18:19:00,2022-10-01 18:19:00,medium
2022-09-12 12:44:00,2022-10-01 18:21:00,class 1 truck
2022-09-06 18:28:00,2022-10-01 18:22:00,full-size
